id,title,company,description,required_skills,location,duration,salary
1,Data Science Intern,TechCorp,"Looking for a motivated data science intern to work on machine learning projects. You will analyze data, build models, and contribute to production ML systems.","Python, Machine Learning, SQL, Data Analysis",Paris,"6 months","1000€/month"
2,Web Development Intern,WebSolutions,"Join our web development team to create modern, responsive web applications using the latest frameworks and technologies.","JavaScript, HTML, CSS, React, Node.js",Lyon,"4 months","900€/month"
3,Business Analytics Intern,DataCorp,"Help our business team analyze market trends, customer behavior, and business performance to drive strategic decisions.","Excel, SQL, Data Visualization, Business Intelligence",Marseille,"3 months","850€/month"
4,Machine Learning Research Intern,AI Research Lab,"Work with our research team on cutting-edge machine learning algorithms, focusing on NLP and computer vision applications.","Python, PyTorch, TensorFlow, Deep Learning, NLP",Paris,"6 months","1200€/month"
5,Mobile App Development Intern,AppFactory,"Develop native mobile applications for iOS and Android platforms, working on real-world products used by thousands of users.","Java, Kotlin, Swift, Mobile Development",Nice,"5 months","950€/month"
6,Data Engineering Intern,BigData Inc,"Join our data engineering team to build and maintain data pipelines, ETL processes, and data warehousing solutions.","Python, SQL, Apache Spark, ETL, Data Pipelines",Lille,"6 months","1100€/month"
7,UX/UI Design Intern,DesignStudio,"Create beautiful and intuitive user interfaces for web and mobile applications, focusing on user experience and accessibility.","UI Design, UX Research, Figma, Adobe XD, Prototyping",Bordeaux,"4 months","900€/month"
8,Cybersecurity Intern,SecureTech,"Work on identifying and addressing security vulnerabilities in our systems, implementing security measures, and conducting security audits.","Network Security, Penetration Testing, Security Auditing, Linux",Paris,"6 months","1150€/month"
9,DevOps Intern,CloudSystems,"Join our DevOps team to automate deployment pipelines, manage cloud infrastructure, and improve system reliability.","Linux, Docker, Kubernetes, AWS, CI/CD",Toulouse,"5 months","1050€/month"
10,Product Management Intern,ProductLab,"Work closely with our product team to define product requirements, conduct market research, and coordinate with development teams.","Product Strategy, Market Research, Agile, Analytics",Strasbourg,"4 months","950€/month"
11,AI Ethics Intern,EthicsCorp,"Assist our team in developing ethical frameworks for AI technologies, ensuring compliance with ethical standards and regulations.","Ethics, Critical Thinking, Research",Paris,"3 months","800€/month"
12,Cloud Architecture Intern,CloudMasters,"Work with our cloud infrastructure team to design and implement scalable cloud solutions using modern architectures.","AWS, Azure, Cloud Computing, Infrastructure",Lyon,"6 months","1200€/month"
13,Mobile UX Intern,MobileDesign,"Collaborate with our design team to enhance the user experience of mobile applications, focusing on usability and design trends.","UX Research, Mobile Development, Prototyping, Figma",Nice,"4 months","950€/month"
14,Data Visualization Intern,VizAnalytics,"Help our analytics team present data in visually appealing formats using advanced visualization tools.","Data Visualization, Tableau, SQL, Data Analysis",Marseille,"5 months","1000€/month"
15,Cybersecurity Research Intern,SecureFuture,"Engage in cutting-edge research on cybersecurity threats and develop innovative solutions for system protection.","Cybersecurity, Penetration Testing, Network Security, Linux",Bordeaux,"6 months","1150€/month"
